time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2023/02/03/10:45:13.941628,128,6763,0,GPS_Frame 1,42.338801333333336,-71.08870816666666,1.06,12.3,327935.1748301705,4689506.894154464,19,T
2023/02/03/10:45:15.026679,129,6764,0,GPS_Frame 1,42.33880166666666,-71.08871,1.29,12.3,327935.0247056538,4689506.934878557,19,T
2023/02/03/10:45:16.107495,130,6765,0,GPS_Frame 1,42.33880166666666,-71.088712,1.06,12.3,327934.8599415925,4689506.938925788,19,T
2023/02/03/10:45:17.191280,131,6766,0,GPS_Frame 1,42.338801333333336,-71.08871383333333,1.06,12.4,327934.70799866255,4689506.905621618,19,T
2023/02/03/10:45:18.275274,132,6767,0,GPS_Frame 1,42.33880066666667,-71.0887155,1.06,12.6,327934.5688768597,4689506.834966047,19,T
2023/02/03/10:45:19.357582,133,6768,0,GPS_Frame 1,42.33879983333333,-71.08871683333334,1.06,12.7,327934.4567611235,4689506.74512887,19,T
2023/02/03/10:45:20.443556,134,6769,0,GPS_Frame 1,42.33879866666666,-71.0887185,1.29,12.8,327934.3162754985,4689506.618952101,19,T
2023/02/03/10:45:21.534400,135,6770,0,GPS_Frame 1,42.33879716666667,-71.08872016666666,1.06,13.0,327934.1748806568,4689506.455761202,19,T
2023/02/03/10:45:22.614644,136,6771,0,GPS_Frame 1,42.338796,-71.08872133333332,1.06,13.1,327934.075586039,4689506.328572626,19,T
2023/02/03/10:45:23.699144,137,6772,0,GPS_Frame 1,42.33879433333333,-71.08872166666667,1.06,13.3,327934.0435792974,4689506.1441764925,19,T
2023/02/03/10:45:24.775666,138,6773,0,GPS_Frame 1,42.33879033333333,-71.0887195,1.06,14.0,327934.2111631834,4689505.695622357,19,T
2023/02/03/10:45:25.863234,139,6774,0,GPS_Frame 1,42.33878733333333,-71.08871833333333,0.9,14.5,327934.29909267393,4689505.360134249,19,T
2023/02/03/10:45:26.945839,140,6775,0,GPS_Frame 1,42.33878483333333,-71.08871766666667,0.9,14.9,327934.34719496383,4689505.081179159,19,T
2023/02/03/10:45:28.027712,141,6776,0,GPS_Frame 1,42.338782666666674,-71.08871733333334,1.06,15.1,327934.36874578183,4689504.839912743,19,T
2023/02/03/10:45:29.112974,142,6777,0,GPS_Frame 1,42.338779833333334,-71.08871683333334,1.06,15.5,327934.402208525,4689504.524280788,19,T
2023/02/03/10:45:30.198976,143,6778,0,GPS_Frame 1,42.338777666666665,-71.08871683333334,1.06,15.6,327934.39629866136,4689504.283688913,19,T
2023/02/03/10:45:31.282351,144,6779,0,GPS_Frame 1,42.33877600000001,-71.08871716666665,1.06,15.8,327934.36429192533,4689504.099292781,19,T
2023/02/03/10:45:32.355032,145,6780,0,GPS_Frame 1,42.338773999999994,-71.08871666666667,1.06,16.0,327934.40002769843,4689503.876196162,19,T
2023/02/03/10:45:33.438179,146,6781,0,GPS_Frame 1,42.33877066666667,-71.08871683333334,1.36,16.2,327934.37720525765,4689503.506392086,19,T
2023/02/03/10:45:34.526308,147,6782,0,GPS_Frame 1,42.338768333333334,-71.088717,1.11,16.2,327934.3571104449,4689503.247630415,19,T
2023/02/03/10:45:35.610227,148,6783,0,GPS_Frame 1,42.33876583333334,-71.08871766666667,1.11,16.3,327934.295369989,4689502.971373487,19,T
2023/02/03/10:45:36.689642,149,6784,0,GPS_Frame 1,42.33876516666666,-71.088718,1.11,16.3,327934.26609087706,4689502.898019758,19,T
